site,indicator,model,hours_tested,skill,lowest_likely,highest_likely,really_better
Bay Mau,nh4,train_mean,672,-9.469072,-12.74956,-7.203733,False
Bay Mau,nh4,seasonal_naive,672,-3.038765,-4.140438,-2.266782,False
Bay Mau,nh4,moving_average,672,-0.242632,-0.375621,-0.145706,False
Bay Mau,nh4,drift,672,-0.663179,-1.035933,-0.403776,False
Bay Mau,nh4,ridge,672,-1.045403,-1.426037,-0.794167,False
Bay Mau,nh4,gradient_boosting,672,-1.667513,-2.218938,-1.265182,False
Bay Mau,cod,train_mean,370,-0.668992,-1.10852,-0.351283,False
Bay Mau,cod,seasonal_naive,370,-1.091582,-1.683219,-0.659577,False
Bay Mau,cod,moving_average,370,-0.150633,-0.281888,-0.051004,False
Bay Mau,cod,drift,370,-0.596682,-0.868932,-0.388294,False
Bay Mau,cod,ridge,370,-0.121648,-0.233414,-0.035258,False
Bay Mau,cod,gradient_boosting,370,0.070258,-0.165463,0.260153,False
Bay Mau,tss,train_mean,698,-1.17637,-1.609098,-0.824436,False
Bay Mau,tss,seasonal_naive,698,-0.942227,-1.370535,-0.584128,False
Bay Mau,tss,moving_average,698,-0.183251,-0.308548,-0.093456,False
Bay Mau,tss,drift,698,-0.580846,-0.813305,-0.392949,False
Bay Mau,tss,ridge,698,-0.403449,-0.62279,-0.237372,False
Bay Mau,tss,gradient_boosting,698,-0.380591,-0.673096,-0.157257,False
Cau Nga,nh4,train_mean,866,-10.879572,-12.671338,-9.308983,False
Cau Nga,nh4,seasonal_naive,866,-2.350441,-2.854561,-1.939183,False
Cau Nga,nh4,moving_average,866,-0.254018,-0.335012,-0.182463,False
Cau Nga,nh4,drift,866,-0.453719,-0.631419,-0.311325,False
Cau Nga,nh4,ridge,866,-0.211616,-0.264385,-0.162891,False
Cau Nga,nh4,gradient_boosting,866,-1.255263,-1.587945,-0.968665,False
Cau Nga,cod,train_mean,866,-7.617352,-8.517306,-6.828113,False
Cau Nga,cod,seasonal_naive,866,-1.159838,-1.349194,-0.96598,False
Cau Nga,cod,moving_average,866,-0.17227,-0.225248,-0.125296,False
Cau Nga,cod,drift,866,-0.490708,-0.595177,-0.396316,False
Cau Nga,cod,ridge,866,-0.975746,-1.140017,-0.81966,False
Cau Nga,cod,gradient_boosting,866,-1.200776,-1.416699,-1.012436,False
Cau Nga,tss,train_mean,866,-0.184478,-0.259001,-0.119188,False
Cau Nga,tss,seasonal_naive,866,-0.019314,-0.115614,0.059472,False
Cau Nga,tss,moving_average,866,-0.102673,-0.132553,-0.071717,False
Cau Nga,tss,drift,866,-0.406619,-0.503278,-0.322093,False
Cau Nga,tss,ridge,866,0.151048,0.107521,0.190424,True
Cau Nga,tss,gradient_boosting,866,0.19402,0.132328,0.254626,True
Ho Tay,nh4,train_mean,225,-45.198711,-52.207534,-40.004455,False
Ho Tay,nh4,seasonal_naive,225,-2.164361,-2.63645,-1.810009,False
Ho Tay,nh4,moving_average,225,-0.147788,-0.240943,-0.0621,False
Ho Tay,nh4,drift,225,-0.365557,-0.51217,-0.23707,False
Ho Tay,nh4,ridge,225,-0.470309,-0.600068,-0.351441,False
Ho Tay,nh4,gradient_boosting,225,-9.116757,-10.638758,-7.934704,False
Ho Tay,cod,train_mean,232,-19.679503,-28.025862,-13.66359,False
Ho Tay,cod,seasonal_naive,232,-0.838292,-1.497594,-0.376757,False
Ho Tay,cod,moving_average,232,0.043245,-0.170669,0.226393,False
Ho Tay,cod,drift,232,-0.705065,-1.084587,-0.436027,False
Ho Tay,cod,ridge,232,-5.202103,-7.290955,-3.604772,False
Ho Tay,cod,gradient_boosting,232,-4.107884,-5.817146,-2.94948,False
Ho Tay,tss,train_mean,169,-146.196518,-164.897657,-130.295128,False
Ho Tay,tss,seasonal_naive,169,-0.91247,-1.239794,-0.637089,False
Ho Tay,tss,moving_average,169,0.173196,0.080246,0.257473,True
Ho Tay,tss,drift,169,-0.738796,-0.915543,-0.584479,False
Ho Tay,tss,ridge,169,-57.317186,-64.659859,-51.238088,False
Ho Tay,tss,gradient_boosting,169,-44.197488,-49.981104,-39.571606,False
