site,indicator,model,hours_tested,MAE,RMSE,R2,baseline_MAE,skill
Bay Mau,nh4,train_mean,672,0.238771,0.278715,-0.352398,0.022807,-9.469072
Bay Mau,nh4,persistence,672,0.022807,0.07869,0.892199,0.022807,0.0
Bay Mau,nh4,seasonal_naive,672,0.092113,0.190639,0.367285,0.022807,-3.038765
Bay Mau,nh4,moving_average,672,0.028341,0.085216,0.873577,0.022807,-0.242632
Bay Mau,nh4,drift,672,0.037933,0.114266,0.77269,0.022807,-0.663179
Bay Mau,nh4,ridge,672,0.04665,0.085354,0.873168,0.022807,-1.045403
Bay Mau,nh4,gradient_boosting,672,0.060839,0.097107,0.835832,0.022807,-1.667513
Bay Mau,cod,train_mean,370,3.684163,6.085839,-0.0822,2.207418,-0.668992
Bay Mau,cod,persistence,370,2.207418,5.302782,0.178374,2.207418,0.0
Bay Mau,cod,seasonal_naive,370,4.616997,7.541462,-0.661796,2.207418,-1.091582
Bay Mau,cod,moving_average,370,2.539929,5.392117,0.150457,2.207418,-0.150633
Bay Mau,cod,drift,370,3.524546,8.247743,-0.987635,2.207418,-0.596682
Bay Mau,cod,ridge,370,2.475947,4.993755,0.271346,2.207418,-0.121648
Bay Mau,cod,gradient_boosting,370,2.052329,4.808493,0.324408,2.207418,0.070258
Bay Mau,tss,train_mean,698,3.233525,4.549352,-0.068603,1.485743,-1.17637
Bay Mau,tss,persistence,698,1.485743,4.15308,0.109451,1.485743,0.0
Bay Mau,tss,seasonal_naive,698,2.88565,5.909877,-0.803327,1.485743,-0.942227
Bay Mau,tss,moving_average,698,1.758007,4.426552,-0.011693,1.485743,-0.183251
Bay Mau,tss,drift,698,2.34873,6.528854,-1.200855,1.485743,-0.580846
Bay Mau,tss,ridge,698,2.085164,3.724452,0.283787,1.485743,-0.403449
Bay Mau,tss,gradient_boosting,698,2.051203,3.802075,0.253622,1.485743,-0.380591
Cau Nga,nh4,train_mean,866,0.696402,0.833198,-0.181651,0.058622,-10.879572
Cau Nga,nh4,persistence,866,0.058622,0.139085,0.967073,0.058622,0.0
Cau Nga,nh4,seasonal_naive,866,0.196409,0.323471,0.8219,0.058622,-2.350441
Cau Nga,nh4,moving_average,866,0.073513,0.152355,0.96049,0.058622,-0.254018
Cau Nga,nh4,drift,866,0.08522,0.194644,0.935512,0.058622,-0.453719
Cau Nga,nh4,ridge,866,0.071027,0.139804,0.966731,0.058622,-0.211616
Cau Nga,nh4,gradient_boosting,866,0.132208,0.230417,0.90963,0.058622,-1.255263
Cau Nga,cod,train_mean,866,6.157308,6.619842,-5.94188,0.714524,-7.617352
Cau Nga,cod,persistence,866,0.714524,1.196187,0.773337,0.714524,0.0
Cau Nga,cod,seasonal_naive,866,1.543257,1.9652,0.38822,0.714524,-1.159838
Cau Nga,cod,moving_average,866,0.837615,1.309691,0.728281,0.714524,-0.17227
Cau Nga,cod,drift,866,1.065147,1.730121,0.525829,0.714524,-0.490708
Cau Nga,cod,ridge,866,1.411719,1.753934,0.512687,0.714524,-0.975746
Cau Nga,cod,gradient_boosting,866,1.572508,2.243738,0.202508,0.714524,-1.200776
Cau Nga,tss,train_mean,866,3.485593,4.782419,-0.099608,2.942724,-0.184478
Cau Nga,tss,persistence,866,2.942724,4.531076,0.012936,2.942724,0.0
Cau Nga,tss,seasonal_naive,866,2.999561,4.377075,0.078892,2.942724,-0.019314
Cau Nga,tss,moving_average,866,3.244862,4.682089,-0.053955,2.942724,-0.102673
Cau Nga,tss,drift,866,4.139293,6.896597,-1.286716,2.942724,-0.406619
Cau Nga,tss,ridge,866,2.498231,3.798629,0.306261,2.942724,0.151048
Cau Nga,tss,gradient_boosting,866,2.371776,3.439991,0.431072,2.942724,0.19402
Ho Tay,nh4,train_mean,225,0.361553,0.383614,-7.951719,0.007826,-45.198711
Ho Tay,nh4,persistence,225,0.007826,0.010596,0.993171,0.007826,0.0
Ho Tay,nh4,seasonal_naive,225,0.024764,0.029828,0.945877,0.007826,-2.164361
Ho Tay,nh4,moving_average,225,0.008983,0.011614,0.991795,0.007826,-0.147788
Ho Tay,nh4,drift,225,0.010687,0.01428,0.987595,0.007826,-0.365557
Ho Tay,nh4,ridge,225,0.011507,0.014968,0.986372,0.007826,-0.470309
Ho Tay,nh4,gradient_boosting,225,0.079174,0.09259,0.478512,0.007826,-9.116757
Ho Tay,cod,train_mean,232,1.506573,1.563043,-12.284082,0.072853,-19.679503
Ho Tay,cod,persistence,232,0.072853,0.206893,0.767254,0.072853,0.0
Ho Tay,cod,seasonal_naive,232,0.133926,0.232719,0.705522,0.072853,-0.838292
Ho Tay,cod,moving_average,232,0.069703,0.170565,0.841813,0.072853,0.043245
Ho Tay,cod,drift,232,0.12422,0.354023,0.31852,0.072853,-0.705065
Ho Tay,cod,ridge,232,0.451844,0.491637,-0.31425,0.072853,-5.202103
Ho Tay,cod,gradient_boosting,232,0.372127,0.524795,-0.497508,0.072853,-4.107884
Ho Tay,tss,train_mean,169,1.838149,1.838883,-1252.399916,0.012488,-146.196518
Ho Tay,tss,persistence,169,0.012488,0.01567,0.908988,0.012488,0.0
Ho Tay,tss,seasonal_naive,169,0.023882,0.031608,0.629685,0.012488,-0.91247
Ho Tay,tss,moving_average,169,0.010325,0.012901,0.938309,0.012488,0.173196
Ho Tay,tss,drift,169,0.021714,0.026069,0.748102,0.012488,-0.738796
Ho Tay,tss,ridge,169,0.728249,0.738535,-201.173403,0.012488,-57.317186
Ho Tay,tss,gradient_boosting,169,0.564414,0.566453,-117.934826,0.012488,-44.197488
